"timestamp","asset","open","close","high","low","3_month_return","1_year_return","bse_return","market_cap","enterprise_value","trading_volume","30d_avg_trading_volume","btc_price","btc_holdings","btc_nav","m_nav","debt","debt_by_btc_nav","pref","pref_by_btc_nav","debt_pref_by_btc_nav","implied_volatility","30d_historical_volatility","1y_historical_volatility","open_interest"
2026-04-08 00:00:00,"MSTR",133.665,128.3,134.5,126.13,-0.23159849074684066,-0.4608110947678083,9.378579517877368,44496877700.00001,60785492600.00001,2200241931.397941,2553054913.668671,70999.17,766970,54454233414.9,1.1162675294106266,8253923000,0.10931111553158444,10336161900,0.18981374361192963,0.3413891580909355,0.74583609,0.5608784966098307,0.7127460367711351,31321546264.8
2026-04-07 00:00:00,"MSTR",125.32,123.72,126.74,121.14,-0.2354940369523575,-0.5385992392034011,9.00808930593755,42908446680,59197061580,1767238203.536541,2583473173.894236,71286,766970,54674223420,1.0827234092609999,8253923000,0.10887128572954864,10336161900,0.18904999931318642,0.34001552719264944,0.78984697,0.5404986659431341,0.7212711780019648,29571676567.1
2026-04-06 00:00:00,"MSTR",124.57,127.69,128.46,123.2,-0.19168196493005002,-0.5651033684138824,9.329234751658309,44285318110,60573933010,2354074508.5027146,2623557908.4723654,68777.67,766970,52750409559.9,1.1483120892401053,8253923000,0.11284183477743,10336161900,0.19594467580887526,0.3524159348732693,0.74857542,0.5545412026091324,0.7221507503941437,29802027572.8
2026-04-02 00:00:00,"MSTR",119.8,119.83,122.645,116.4,-0.23752863324001017,-0.616593076086261,8.693415304966834,41412529020,57371053720,2110175419.0295057,2653179601.157165,66574.1,762099,50736055035.9,1.1307748243217803,8253923000,0.11732195173211914,10006071700,0.19721816552193244,0.35990174417540993,0.71544566,0.5172546716816426,0.7294606016163353,29853258153.6
2026-04-01 00:00:00,"MSTR",126.18,122.78,126.3,121.44,-0.1919710431062849,-0.5987843931769166,8.932049830124576,42432031320,58390556020,1888147394.8960128,2813370208.6501427,66569.3,762099,50732396960.700005,1.1509520448094028,8253923000,0.1173304112677957,10006071700,0.19723238599885654,0.35992769500217303,0.78070044,0.5323110835867806,0.7295929605228691,30006094637
2026-03-31 00:00:00,"MSTR",123.16,124.8,125.3,117.75,-0.17867719644619937,-0.5670725361640129,9.095453810063097,43130131200,59088655900,2657023944.7085567,2846066850.843131,68107.5,762099,51904657642.5,1.1384075839008652,8253923000,0.11468051751729652,10006071700,0.19277791540246936,0.351798769693619,0.78235361,0.6535079083047263,0.7322371198892798,29001550784.1
2026-03-30 00:00:00,"MSTR",129.55,121.44,130.34,120.8,-0.21958743011374598,-0.580387685290764,8.823653130561398,41968935360,57930482560,1918800165.4854383,2886400610.249976,67647.83,762099,51554343595.17,1.123678016636165,8253923000,0.11545977671137822,10009094200,0.19414647732878376,0.3542478853655896,0.80216985,0.653609183868097,0.7330561726842881,27877757923.2
2026-03-27 00:00:00,"MSTR",129.88,126.03,130.65,123.98,-0.20641017568163214,-0.6117255614775563,9.19495227309497,43555211820,59516759020,2706505356.936813,2881539595.319099,66229,762099,50473054671,1.179178859055586,8253923000,0.11793328219978065,10009094200,0.19830569529113254,0.36183697061817166,0.73337919,0.6843079370733619,0.7392798737251952,30910826205
2026-03-26 00:00:00,"MSTR",136.55,132.93,139.08,132.691,-0.16296203009886023,-0.5963377972123531,9.753114382785958,45939810420,61901357620,2031896292.6039479,2867698794.7514076,68721.7,762099,52372738848.299995,1.1819385233852306,8253923000,0.11365556071530933,10009094200,0.19111267464914894,0.3487122805034057,0.75455979,0.6653961110495323,0.7376789051404099,32003871450.7
2026-03-25 00:00:00,"MSTR",140.4,139.13,143.85,136.8,-0.12336966794782944,-0.5929610017261051,10.254651350914092,48082493220,64044040420,2602847107.876465,2926952616.0321984,70892,762099,54026722308,1.1854141373761755,8253923000,0.11017608964071084,10009094200,0.18526191803639927,0.3380367421862959,0.75341021,0.6469027307631599,0.7372482261115804,32086856692.8
2026-03-24 00:00:00,"MSTR",138.73,136.25,140.05,134.28,-0.14151597252851117,-0.5941558441558442,10.021679339912636,47087182500,63048729700,2602171646.7920237,2894107448.642779,70683.1,762099,53867519826.9,1.1704405530940214,8253923000,0.11050170899138935,10009094200,0.18580944940779928,0.33903579111655957,0.75515379,0.7095023099765866,0.7371556363822102,31325793282.5
2026-03-23 00:00:00,"MSTR",138.605,138.2,139.93,133.97,-0.12465163415252095,-0.5453947368421053,10.179420805694871,47761090799.99999,63722637999.99999,2989781882.9859953,2881291630.261314,70543.7,762099,53761283226.299995,1.1852886347926106,8253923000,0.11072006921680141,10009094200,0.1861766237585556,0.33970575298816047,0.74507908,0.7060913632196549,0.7385568393708878,30721458464.2
2026-03-20 00:00:00,"MSTR",139.47,135.66,139.685,134.13,-0.1769202766654532,-0.5508987982917867,9.973952434881086,46814095440,62766265140,3875487996.101792,2848914219.9370356,70654.1,761068,53772574578.8,1.1672542300912216,8253923000,0.11069681983102911,9999716700,0.18596313786958638,0.3394600285178934,0.71426299,0.738517045117563,0.7439829312395628,37789207668
2026-03-19 00:00:00,"MSTR",135.02,138.24,139.78,132.76,-0.16126683654896243,-0.5456069421161621,10.182656528069893,47704412160,63656581860,2658043473.790879,2759647608.1833243,70729.69,761068,53830103708.92,1.1825461493482445,8253923000,0.11057851629242987,9999716700,0.18576439596089767,0.33909724192069973,0.75612968,0.7352767044003857,0.7438271141956018,37728382652.8
2026-03-18 00:00:00,"MSTR",144.99,140.56,146.7586,140.35,-0.11172901921132461,-0.5036547900702708,10.370328425821064,48505007040,64457176740,2995907184.727056,2736260718.0789967,71215.89,761068,54200134970.52,1.1892438418291562,8253923000,0.10982358260247137,9999716700,0.18449615864312788,0.3367821816297753,0.77118893,0.7387283856138421,0.7474656003667995,38332748834.2
2026-03-17 00:00:00,"MSTR",145.965,150.28,152.27,145.23,-0.06297543334580369,-0.4893125361062969,11.15660896295098,51859223520,67811393220,2772392252.611655,2709285294.4315176,74478.75,761068,56683393305,1.196318520578379,8253923000,0.10501229113033603,9999716700,0.1764135157927804,0.32202799860236775,0.73799391,0.6994494452506664,0.7455466555047149,40240785802.4
